#Release 13.2 - par O.61xd (lin)
#Copyright (c) 1995-2011 Xilinx, Inc.  All rights reserved.

#Wed Oct 26 06:42:31 2011

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       u2plus_map.ncd
#OUTPUT FILE:      u2plus_pad.csv
#PART TYPE:        xc3sd3400a
#SPEED GRADE:      -5
#PACKAGE:          fg676
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
D25,GMII_TXD<2>,IOB,IO_L61P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
D26,GMII_TX_EN,IOB,IO_L60N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
E1,io_tx<5>,IOB,IO_L11P_3,BIDIR,LVCMOS25*,3,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
E2,,,VCCO_3,,,3,,,,,2.50,,,,
E3,MOSI_RX_ADC,IOB,IO_L07P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
E4,SCLK_RX_DAC,IOB,IO_L06N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
E5,,,VCCAUX,,,,,,,,2.5,,,,
E6,,,VCCINT,,,,,,,,1.2,,,,
E7,RAM_D<16>,IOB,IO_L48N_0,BIDIR,LVCMOS25*,0,8,FAST,NONE**,IFD,,LOCATED,YES,NONE,
E8,,,VCCO_0,,,0,,,,,2.50,,,,
E9,,,GND,,,,,,,,,,,,
E10,,DIFFMTB,IO_L37P_0,UNUSED,,0,,,,,,,,,
E11,,IBUF,IP_0,UNUSED,,0,,,,,,,,,
E12,RAM_A<1>,IOB,IO_L31P_0,OUTPUT,LVCMOS25*,0,8,FAST,NONE**,,,LOCATED,YES,NONE,
E13,,,VCCO_0,,,0,,,,,2.50,,,,
E14,RAM_A<7>,IOB,IO_L24P_0,OUTPUT,LVCMOS25*,0,8,FAST,NONE**,,,LOCATED,YES,NONE,
E15,,DIFFSTB,IO_L20N_0/VREF_0,UNUSED,,0,,,,,,,,,
E16,,,VCCAUX,,,,,,,,2.5,,,,
E17,,DIFFSTB,IO_L13N_0,UNUSED,,0,,,,,,,,,
E18,,IBUF,IP_0,UNUSED,,0,,,,,,,,,
E19,,,VCCO_0,,,0,,,,,2.50,,,,
E20,,,VCCAUX,,,,,,,,2.5,,,,
E21,RAM_D<32>,IOB,IO_L10P_0,BIDIR,LVCMOS25*,0,8,FAST,NONE**,IFD,,LOCATED,YES,NONE,
E22,,,VCCAUX,,,,,,,,2.5,,,,
E23,,,TDO,,,,,,,,,,,,
E24,GMII_RXD<4>,IBUF,IO_L56P_1,INPUT,LVCMOS25*,1,,,,IFD,,LOCATED,YES,NONE,
E25,,,VCCO_1,,,1,,,,,2.50,,,,
E26,GMII_TXD<0>,IOB,IO_L60P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
F1,,,GND,,,,,,,,,,,,
F2,io_tx<4>,IOB,IO_L11N_3,BIDIR,LVCMOS25*,3,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
F3,io_tx<8>,IOB,IO_L14N_3,BIDIR,LVCMOS25*,3,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
F4,SCLK_RX_ADC,IOB,IO_L07N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
F5,io_tx<1>,IOB,IO_L09P_3,BIDIR,LVCMOS25*,3,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
F6,,,GND,,,,,,,,,,,,
F7,RAM_D<17>,IOB,IO_L48P_0,BIDIR,LVCMOS25*,0,8,FAST,NONE**,IFD,,LOCATED,YES,NONE,
F8,,DIFFMTB,IO_L52P_0/VREF_0,UNUSED,,0,,,,,,,,,
F9,,,VCCAUX,,,,,,,,2.5,,,,
F10,,,VCCINT,,,,,,,,1.2,,,,
F11,,,GND,,,,,,,,,,,,
F12,RAM_A<2>,IOB,IO_L31N_0,OUTPUT,LVCMOS25*,0,8,FAST,NONE**,,,LOCATED,YES,NONE,
F13,,DIFFMTB,IO_L27P_0/GCLK8,UNUSED,,0,,,,,,,,,
F14,RAM_A<8>,IOB,IO_L24N_0,OUTPUT,LVCMOS25*,0,8,FAST,NONE**,,,LOCATED,YES,NONE,
F15,RAM_A<15>,IOB,IO_L20P_0,OUTPUT,LVCMOS25*,0,8,FAST,NONE**,,,LOCATED,YES,NONE,
F16,,,GND,,,,,,,,,,,,
F17,,DIFFMTB,IO_L13P_0,UNUSED,,0,,,,,,,,,
F18,,,VCCINT,,,,,,,,1.2,,,,
F19,RAM_D<20>,IOB,IO_L02N_0,BIDIR,LVCMOS25*,0,8,FAST,NONE**,IFD,,LOCATED,YES,NONE,
F20,RAM_D<18>,IOB,IO_L01N_0,BIDIR,LVCMOS25*,0,8,FAST,NONE**,IFD,,LOCATED,YES,NONE,
F21,,,GND,,,,,,,,,,,,
F22,,DIFFMLR,IO_L58P_1/VREF_1,UNUSED,,1,,,,,,,,,
F23,GMII_RXD<3>,IBUF,IO_L56N_1,INPUT,LVCMOS25*,1,,,,IFD,,LOCATED,YES,NONE,
F24,GMII_RX_DV,IBUF,IO_L54N_1,INPUT,LVCMOS25*,1,,,,IFD,,LOCATED,YES,NONE,
F25,GMII_RXD<0>,IBUF,IO_L54P_1,INPUT,LVCMOS25*,1,,,,IFD,,LOCATED,YES,NONE,
F26,,,GND,,,,,,,,,,,,
G1,MISO_TX_ADC,IBUF,IP_3,INPUT,LVCMOS25*,3,,,,IBUF,,LOCATED,NO,NONE,
G2,,,GND,,,,,,,,,,,,
G3,io_tx<9>,IOB,IO_L14P_3,BIDIR,LVCMOS25*,3,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
G4,io_tx<0>,IOB,IO_L09N_3,BIDIR,LVCMOS25*,3,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
G5,,,GND,,,,,,,,,,,,
G6,SCLK_RX_DB,IOB,IO_L03P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
G7,,,TDI,,,,,,,,,,,,
G8,,DIFFSTB,IO_L52N_0/PUDC_B,UNUSED,,0,,,,,,,,,
G9,RAM_D<15>,IOB,IO_L47P_0,BIDIR,LVCMOS25*,0,8,FAST,NONE**,IFD,,LOCATED,YES,NONE,
G10,RAM_D<13>,IOB,IO_L46P_0,BIDIR,LVCMOS25*,0,8,FAST,NONE**,IFD,,LOCATED,YES,NONE,
G11,,IBUF,IP_0/VREF_0,UNUSED,,0,,,,,,,,,
G12,RAM_BWn<0>,IOB,IO_L35P_0,OUTPUT,LVCMOS25*,0,8,FAST,NONE**,,,LOCATED,NO,NONE,
G13,,DIFFSTB,IO_L27N_0/GCLK9,UNUSED,,0,,,,,,,,,
G14,,IBUF,IP_0,UNUSED,,0,,,,,,,,,
G15,,DIFFMTB,IO_L16P_0,UNUSED,,0,,,,,,,,,
G16,,,GND,,,,,,,,,,,,
G17,RAM_D<27>,IOB,IO_L08N_0,BIDIR,LVCMOS25*,0,8,FAST,NONE**,IFD,,LOCATED,YES,NONE,
G18,,,VCCINT,,,,,,,,1.2,,,,
G19,,DIFFMTB,IO_L02P_0/VREF_0,UNUSED,,0,,,,,,,,,
G20,RAM_D<19>,IOB,IO_L01P_0,BIDIR,LVCMOS25*,0,8,FAST,NONE**,IFD,,LOCATED,YES,NONE,
G21,GMII_TXD<7>,IOB,IO_L64N_1/A25,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
G22,GMII_RXD<7>,IBUF,IO_L58N_1,INPUT,LVCMOS25*,1,,,,IFD,,LOCATED,YES,NONE,
G23,GMII_COL,IBUF,IO_L51P_1,INPUT,LVCMOS25*,1,,,,IBUF,,LOCATED,NO,NONE,
G24,,DIFFSLR,IO_L51N_1,UNUSED,,1,,,,,,,,,
G25,,DIFFSI_NDT,IP_1/VREF_1,UNUSED,,1,,,,,,,,,
G26,,,VCCAUX,,,,,,,,2.5,,,,
H1,io_tx<12>,IOB,IO_L17N_3,BIDIR,LVCMOS25*,3,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
H2,io_tx<13>,IOB,IO_L17P_3,BIDIR,LVCMOS25*,3,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
H3,,,GND,,,,,,,,,,,,
H4,MISO_RX_DB,IBUF,IP_3/VREF_3,INPUT,LVCMOS25*,3,,,,IBUF,,LOCATED,NO,NONE,
H5,,,VCCO_3,,,3,,,,,2.50,,,,
H6,io_tx<2>,IOB,IO_L10N_3,BIDIR,LVCMOS25*,3,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
H7,MOSI_RX_DB,IOB,IO_L03N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
H8,,,GND,,,,,,,,,,,,
H9,RAM_D<14>,IOB,IO_L47N_0,BIDIR,LVCMOS25*,0,8,FAST,NONE**,IFD,,LOCATED,YES,NONE,
H10,RAM_D<12>,IOB,IO_L46N_0,BIDIR,LVCMOS25*,0,8,FAST,NONE**,IFD,,LOCATED,YES,NONE,
H11,,,VCCO_0,,,0,,,,,2.50,,,,
H12,RAM_LDn,IOB,IO_L35N_0,OUTPUT,LVCMOS25*,0,8,FAST,NONE**,,,LOCATED,NO,NONE,
H13,,IBUF,IP_0,UNUSED,,0,,,,,,,,,
H14,,,GND,,,,,,,,,,,,
H15,,DIFFSTB,IO_L16N_0,UNUSED,,0,,,,,,,,,
H16,,,VCCO_0,,,0,,,,,2.50,,,,
H17,RAM_D<28>,IOB,IO_L08P_0,BIDIR,LVCMOS25*,0,8,FAST,NONE**,IFD,,LOCATED,YES,NONE,
H18,,IBUF,IP_0,UNUSED,,0,,,,,,,,,
H19,,,GND,,,,,,,,,,,,
H20,ETH_LED,IOB,IO_L64P_1/A24,OUTPUT,LVCMOS25*,1,12,FAST,NONE**,,,LOCATED,NO,NONE,
H21,GMII_TXD<3>,IOB,IO_L62N_1/A21,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
H22,,,VCCO_1,,,1,,,,,2.50,,,,
H23,,,VCCAUX,,,,,,,,2.5,,,,
H24,,DIFFSI_NDT,IP_1,UNUSED,,1,,,,,,,,,
H25,,,VCCO_1,,,1,,,,,2.50,,,,
H26,,DIFFMI_NDT,IP_1/VREF_1,UNUSED,,1,,,,,,,,,
J1,ADCB_10_p,IBUF,IP_L24P_3,INPUT,LVCMOS25*,3,,,,IFD,,LOCATED,YES,NONE,
J2,ADCB_12_n,IBUF,IP_L20N_3/VREF_3,INPUT,LVCMOS25*,3,,,,IFD,,LOCATED,YES,NONE,
J3,ADCB_12_p,IBUF,IP_L20P_3,INPUT,LVCMOS25*,3,,,,IFD,,LOCATED,YES,NONE,
J4,DACB<15>,IOB,IO_L19N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
J5,DACB<14>,IOB,IO_L19P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
J6,io_tx<6>,IOB,IO_L13N_3,BIDIR,LVCMOS25*,3,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
J7,io_tx<3>,IOB,IO_L10P_3,BIDIR,LVCMOS25*,3,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
J8,MOSI_ADC,IOB,IO_L01P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
J9,SEN_ADC,IOB,IO_L01N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
J10,,IBUF,IP_0,UNUSED,,0,,,,,,,,,
J11,RAM_D<7>,IOB,IO_L43P_0,BIDIR,LVCMOS25*,0,8,FAST,NONE**,IFD,,LOCATED,YES,NONE,
J12,RAM_ZZ,IOB,IO_L39P_0,OUTPUT,LVCMOS25*,0,8,FAST,NONE**,,,LOCATED,NO,NONE,
J13,,IBUF,IP_0,UNUSED,,0,,,,,,,,,
J14,,DIFFSTB,IO_L25N_0/GCLK5,UNUSED,,0,,,,,,,,,
J15,,IBUF,IP_0,UNUSED,,0,,,,,,,,,
J16,,DIFFMTB,IO_L12P_0,UNUSED,,0,,,,,,,,,
J17,,IBUF,IP_0/VREF_0,UNUSED,,0,,,,,,,,,
J18,,,VCCAUX,,,,,,,,2.5,,,,
J19,GMII_TX_ER,IOB,IO_L59P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
J20,GMII_GTX_CLK,IOB,IO_L59N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
J21,GMII_TXD<4>,IOB,IO_L62P_1/A20,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
J22,PHY_RESETn,IOB,IO_L49N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
J23,MDC,IOB,IO_L49P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
J24,,,GND,,,,,,,,,,,,
J25,,DIFFSLR,IO_L43N_1/A19,UNUSED,,1,,,,,,,,,
J26,,DIFFMLR,IO_L43P_1/A18,UNUSED,,1,,,,,,,,,
K1,ADCB_10_n,IBUF,IP_L24N_3,INPUT,LVCMOS25*,3,,,,IFD,,LOCATED,YES,NONE,
K2,DACB<9>,IOB,IO_L23N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
K3,DACB<8>,IOB,IO_L23P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
K4,DACB<11>,IOB,IO_L22N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
K5,DACB<10>,IOB,IO_L22P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
K6,io_tx<15>,IOB,IO_L18P_3,BIDIR,LVCMOS25*,3,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
K7,io_tx<7>,IOB,IO_L13P_3,BIDIR,LVCMOS25*,3,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
K8,MOSI_RX_DAC,IOB,IO_L05N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
K9,SEN_RX_DAC,IOB,IO_L05P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
K10,,,GND,,,,,,,,,,,,
K11,RAM_D<6>,IOB,IO_L43N_0,BIDIR,LVCMOS25*,0,8,FAST,NONE**,IFD,,LOCATED,YES,NONE,
K12,,DIFFSTB,IO_L39N_0,UNUSED,,0,,,,,,,,,
K13,,,VCCAUX,,,,,,,,2.5,,,,
K14,,DIFFMTB,IO_L25P_0/GCLK4,UNUSED,,0,,,,,,,,,
K15,,,VCCINT,,,,,,,,1.2,,,,
K16,RAM_D<35>,IOB,IO_L12N_0,BIDIR,LVCMOS25*,0,8,FAST,NONE**,IFD,,LOCATED,YES,NONE,
K17,,,GND,,,,,,,,,,,,
K18,GMII_RXD<5>,IBUF,IO_L57N_1,INPUT,LVCMOS25*,1,,,,IFD,,LOCATED,YES,NONE,
K19,GMII_RXD<6>,IBUF,IO_L57P_1,INPUT,LVCMOS25*,1,,,,IFD,,LOCATED,YES,NONE,
K20,GMII_CRS,IBUF,IO_L53N_1,INPUT,LVCMOS25*,1,,,,IBUF,,LOCATED,NO,NONE,
K21,MDIO,IOB,IO_L50N_1,BIDIR,LVCMOS25*,1,12,SLOW,NONE**,BOTH,,LOCATED,YES,NONE,
K22,,DIFFSLR,IO_L46N_1,UNUSED,,1,,,,,,,,,
K23,,DIFFMLR,IO_L46P_1,UNUSED,,1,,,,,,,,,
K24,FPGA_RESET,IBUF,IP_L40P_1,INPUT,LVCMOS25*,1,,,,BOTH,,LOCATED,YES,NONE,
K25,,DIFFMLR,IO_L41P_1,UNUSED,,1,,,,,,,,,
K26,,DIFFSLR,IO_L41N_1,UNUSED,,1,,,,,,,,,
L1,,,GND,,,,,,,,,,,,
L2,,,VCCO_3,,,3,,,,,2.50,,,,
L3,DACB<7>,IOB,IO_L25N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
L4,DACB<6>,IOB,IO_L25P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
L5,,,VCCAUX,,,,,,,,2.5,,,,
L6,,,GND,,,,,,,,,,,,
L7,io_tx<14>,IOB,IO_L18N_3,BIDIR,LVCMOS25*,3,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
L8,,,VCCO_3,,,3,,,,,2.50,,,,
L9,io_tx<10>,IOB,IO_L15N_3,BIDIR,LVCMOS25*,3,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
L10,io_tx<11>,IOB,IO_L15P_3,BIDIR,LVCMOS25*,3,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
L11,,,GND,,,,,,,,,,,,
L12,,,VCCINT,,,,,,,,1.2,,,,
L13,,,GND,,,,,,,,,,,,
L14,,,VCCINT,,,,,,,,1.2,,,,
L15,,,GND,,,,,,,,,,,,
L16,,,VCCINT,,,,,,,,1.2,,,,
L17,GMII_RXD<1>,IBUF,IO_L55N_1,INPUT,LVCMOS25*,1,,,,IFD,,LOCATED,YES,NONE,
L18,GMII_RXD<2>,IBUF,IO_L55P_1,INPUT,LVCMOS25*,1,,,,IFD,,LOCATED,YES,NONE,
L19,,,VCCO_1,,,1,,,,,2.50,,,,
L20,GMII_RX_ER,IBUF,IO_L53P_1,INPUT,LVCMOS25*,1,,,,IFD,,LOCATED,YES,NONE,
L21,,,GND,,,,,,,,,,,,
L22,PHY_INTn,IBUF,IO_L50P_1,INPUT,LVCMOS25*,1,,,,BOTH,,LOCATED,YES,NONE,
L23,,DIFFSI_NDT,IP_L40N_1,UNUSED,,1,,,,,,,,,
L24,exp_user_in_p,IBUF,IO_L38P_1/A12,INPUT,LVCMOS25*,1,,,,IBUF,,LOCATED,NO,NONE,
L25,,,VCCO_1,,,1,,,,,2.50,,,,
L26,,,GND,,,,,,,,,,,,
M1,io_rx<0>,IOB,IO_L29N_3/VREF_3,BIDIR,LVCMOS25*,3,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
M2,DACA<15>,IOB,IO_L29P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
M3,DACB<3>,IOB,IO_L27N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
M4,DACB<2>,IOB,IO_L27P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
M5,DACB<0>,IOB,IO_L28P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
M6,DACB<1>,IOB,IO_L28N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
M7,DACB<5>,IOB,IO_L26N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
M8,DACB<4>,IOB,IO_L26P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
M9,DACB<13>,IOB,IO_L21N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
M10,DACB<12>,IOB,IO_L21P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
M11,,,VCCINT,,,,,,,,1.2,,,,
M12,,,GND,,,,,,,,,,,,
M13,,,VCCINT,,,,,,,,1.2,,,,
M14,,,GND,,,,,,,,,,,,
M15,,,VCCINT,,,,,,,,1.2,,,,
M16,,,GND,,,,,,,,,,,,
M17,,,VCCINT,,,,,,,,1.2,,,,
M18,,DIFFSLR,IO_L47N_1,UNUSED,,1,,,,,,,,,
M19,,DIFFMLR,IO_L47P_1,UNUSED,,1,,,,,,,,,
M20,,DIFFSLR,IO_L42N_1/A17,UNUSED,,1,,,,,,,,,
M21,,DIFFMLR,IO_L45P_1,UNUSED,,1,,,,,,,,,
M22,,DIFFSLR,IO_L45N_1,UNUSED,,1,,,,,,,,,
M23,exp_user_in_n,IBUF,IO_L38N_1/A13,INPUT,LVCMOS25*,1,,,,IBUF,,LOCATED,NO,NONE,
M24,,DIFFMI_NDT,IP_L36P_1/VREF_1,UNUSED,,1,,,,,,,,,
M25,,DIFFSLR,IO_L35N_1/A11,UNUSED,,1,,,,,,,,,
M26,,DIFFMLR,IO_L35P_1/A10,UNUSED,,1,,,,,,,,,
N1,DACA<11>,IOB,IO_L31P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
N2,DACA<12>,IOB,IO_L31N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
N3,,,GND,,,,,,,,,,,,
N4,DACA<14>,IOB,IO_L30N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
N5,DACA<13>,IOB,IO_L30P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
N6,,DIFFMLR,IO_L32P_3/LHCLK0,UNUSED,,3,,,,,,,,,
N7,,DIFFSLR,IO_L32N_3/LHCLK1,UNUSED,,3,,,,,,,,,
N8,,,GND,,,,,,,,,,,,
N9,,DIFFMLR,IO_L35P_3/TRDY2/LHCLK6,UNUSED,,3,,,,,,,,,
N10,,,VCCAUX,,,,,,,,2.5,,,,
N11,,,GND,,,,,,,,,,,,
N12,,,VCCINT,,,,,,,,1.2,,,,
N13,,,VCCINT,,,,,,,,1.2,,,,
N14,,,VCCINT,,,,,,,,1.2,,,,
N15,,,GND,,,,,,,,,,,,
N16,,,VCCINT,,,,,,,,1.2,,,,
N17,exp_time_in_n,DIFFSI_NDT,IO_L39N_1/A15,,LVDS_25,1,,,,,,LOCATED,NO,,
N18,exp_time_in_p,DIFFMI_NDT,IO_L39P_1/A14,,LVDS_25,1,,,,,,LOCATED,NO,,
N19,,DIFFSLR,IO_L34N_1/RHCLK7,UNUSED,,1,,,,,,,,,
N20,,DIFFMLR,IO_L42P_1/A16,UNUSED,,1,,,,,,,,,
N21,,DIFFSLR,IO_L37N_1,UNUSED,,1,,,,,,,,,
N22,,,VCCO_1,,,1,,,,,2.50,,,,
N23,,DIFFSI_NDT,IP_L36N_1,UNUSED,,1,,,,,,,,,
N24,,DIFFSLR,IO_L33N_1/RHCLK5,UNUSED,,1,,,,,,,,,
N25,,DIFFSI_NDT,IP_L32N_1,UNUSED,,1,,,,,,,,,
N26,,DIFFMI_NDT,IP_L32P_1,UNUSED,,1,,,,,,,,,
P1,ADC_clkout_p,IBUF,IO_L33P_3/LHCLK2,INPUT,LVCMOS25*,3,,,,IBUF,,LOCATED,NO,NONE,
P2,ADC_clkout_n,IBUF,IO_L33N_3/IRDY2/LHCLK3,INPUT,LVCMOS25*,3,,,,IBUF,,LOCATED,NO,NONE,
P3,,DIFFSLR,IO_L34N_3/LHCLK5,UNUSED,,3,,,,,,,,,
P4,DAC_LOCK,IBUF,IO_L34P_3/LHCLK4,INPUT,LVCMOS25*,3,,,,IBUF,,LOCATED,NO,NONE,
P5,,,VCCO_3,,,3,,,,,2.50,,,,
P6,DACA<5>,IOB,IO_L39N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P7,DACA<4>,IOB,IO_L39P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P8,DACA<0>,IOB,IO_L41P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P9,DACA<1>,IOB,IO_L41N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P10,,DIFFSLR,IO_L35N_3/LHCLK7,UNUSED,,3,,,,,,,,,
P11,,,VCCINT,,,,,,,,1.2,,,,
P12,,,GND,,,,,,,,,,,,
P13,,,VCCINT,,,,,,,,1.2,,,,
P14,,,VCCINT,,,,,,,,1.2,,,,
P15,,,VCCINT,,,,,,,,1.2,,,,
P16,,,GND,,,,,,,,,,,,
P17,,,VCCAUX,,,,,,,,2.5,,,,
P18,ser_rx_clk,IBUF,IO_L34P_1/IRDY1/RHCLK6,INPUT,LVCMOS25*,1,,,,IBUF,,LOCATED,NO,NONE,
P19,,,GND,,,,,,,,,,,,
P20,,DIFFSLR,IO_L30N_1/RHCLK1,UNUSED,,1,,,,,,,,,
P21,GMII_RX_CLK,IBUF,IO_L30P_1/RHCLK0,INPUT,LVCMOS25*,1,,,,IBUF,,LOCATED,NO,NONE,
P22,,DIFFMLR,IO_L37P_1,UNUSED,,1,,,,,,,,,
P23,ser_tx_clk,IOB,IO_L33P_1/RHCLK4,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P24,,,GND,,,,,,,,,,,,
P25,GMII_TX_CLK,IBUF,IO_L31N_1/TRDY1/RHCLK3,INPUT,LVCMOS25*,1,,,,IBUF,,LOCATED,NO,NONE,
P26,CLK_TO_MAC,IBUF,IO_L31P_1/RHCLK2,INPUT,LVCMOS25*,1,,,,IBUF,,LOCATED,NO,NONE,
R1,io_rx<1>,IOB,IO_L36P_3/VREF_3,BIDIR,LVCMOS25*,3,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
R2,DACA<10>,IOB,IO_L36N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
R3,DACA<8>,IOB,IO_L37P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
R4,DACA<9>,IOB,IO_L37N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
R5,DACA<2>,IOB,IO_L40P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
R6,DACA<3>,IOB,IO_L40N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
R7,ADCA_0_n,IBUF,IO_L45N_3,INPUT,LVCMOS25*,3,,,,IFD,,LOCATED,YES,NONE,
R8,ADCA_0_p,IBUF,IO_L45P_3,INPUT,LVCMOS25*,3,,,,IFD,,LOCATED,YES,NONE,
R9,,DIFFSLR,IO_L43N_3,UNUSED,,3,,,,,,,,,
R10,io_rx<2>,IOB,IO_L43P_3/VREF_3,BIDIR,LVCMOS25*,3,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
R11,,,GND,,,,,,,,,,,,
R12,,,VCCINT,,,,,,,,1.2,,,,
R13,,,GND,,,,,,,,,,,,
R14,,,VCCINT,,,,,,,,1.2,,,,
R15,,,GND,,,,,,,,,,,,
R16,,,VCCINT,,,,,,,,1.2,,,,
R17,,DIFFSLR,IO_L27N_1/A7,UNUSED,,1,,,,,,,,,
