#Release 13.1 - par O.40d (nt)
#Copyright (c) 1995-2011 Xilinx, Inc.  All rights reserved.

#Thu Feb 16 10:35:50 2012

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       u1e_map.ncd
#OUTPUT FILE:      u1e_pad.csv
#PART TYPE:        xc3sd1800a
#SPEED GRADE:      -4
#PACKAGE:          cs484
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
L22,debug<7>,IOB,IO_L22P_1/A10,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
M1,,DIFFMLR,IO_L22P_3/VREF_3,UNUSED,,3,,,,,,,,,
M2,,DIFFSLR,IO_L20N_3/LHCLK5,UNUSED,,3,,,,,,,,,
M3,,DIFFMI_NDT,IP_L23P_3,UNUSED,,3,,,,,,,,,
M4,,,GND,,,,,,,,,,,,
M5,PPS_IN,IBUF,IO_L18N_3/LHCLK1,INPUT,LVCMOS25*,3,,,,IFD,,LOCATED,YES,NONE,
M6,,DIFFMLR,IO_L21P_3/TRDY2/LHCLK6,UNUSED,,3,,,,,,,,,
M7,,,VCCAUX,,,,,,,,2.5,,,,
M8,,,GND,,,,,,,,,,,,
M9,,,VCCINT,,,,,,,,1.2,,,,
M10,,,GND,,,,,,,,,,,,
M11,,,VCCINT,,,,,,,,1.2,,,,
M12,,,GND,,,,,,,,,,,,
M13,,,VCCINT,,,,,,,,1.2,,,,
M14,,,GND,,,,,,,,,,,,
M15,,,VCCINT,,,,,,,,1.2,,,,
M16,,,GND,,,,,,,,,,,,
M17,debug_clk<1>,IOB,IO_L18N_1/RHCLK1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
M18,,DIFFMLR,IO_L21P_1/IRDY1/RHCLK6,UNUSED,,1,,,,,,,,,
M19,,,VCCAUX,,,,,,,,2.5,,,,
M20,,DIFFSLR,IO_L19N_1/TRDY1/RHCLK3,UNUSED,,1,,,,,,,,,
M21,,,GND,,,,,,,,,,,,
M22,debug<10>,IOB,IO_L17N_1/A9,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
N1,DA<8>,IBUF,IO_L22N_3,INPUT,LVCMOS25*,3,,,,IBUF,,LOCATED,NO,NONE,
N2,,,VCCO_3,,,3,,,,,3.30,,,,
N3,,DIFFMI_NDT,IP_L31P_3,UNUSED,,3,,,,,,,,,
N4,,DIFFSI_NDT,IP_L23N_3,UNUSED,,3,,,,,,,,,
N5,DA<7>,IBUF,IO_L24N_3,INPUT,LVCMOS25*,3,,,,IBUF,,LOCATED,NO,NONE,
N6,DA<6>,IBUF,IO_L24P_3,INPUT,LVCMOS25*,3,,,,IBUF,,LOCATED,NO,NONE,
N7,,DIFFSLR,IO_L21N_3/LHCLK7,UNUSED,,3,,,,,,,,,
N8,,,VCCINT,,,,,,,,1.2,,,,
N9,,,GND,,,,,,,,,,,,
N10,,,VCCINT,,,,,,,,1.2,,,,
N11,,,GND,,,,,,,,,,,,
N12,,,VCCINT,,,,,,,,1.2,,,,
N13,,,GND,,,,,,,,,,,,
N14,,,VCCINT,,,,,,,,1.2,,,,
N15,,,GND,,,,,,,,,,,,
N16,,,VCCAUX,,,,,,,,2.5,,,,
N17,debug<15>,IOB,IO_L13P_1/A2,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
N18,debug_clk<0>,IOB,IO_L18P_1/RHCLK0,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
N19,debug<12>,IOB,IO_L15N_1/A7,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
N20,debug<11>,IOB,IO_L15P_1/A6,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
N21,,DIFFMLR,IO_L19P_1/RHCLK2,UNUSED,,1,,,,,,,,,
N22,debug<9>,IOB,IO_L17P_1/A8,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P1,DA<4>,IBUF,IO_L25P_3,INPUT,LVCMOS25*,3,,,,IBUF,,LOCATED,NO,NONE,
P2,DA<5>,IBUF,IO_L25N_3,INPUT,LVCMOS25*,3,,,,IBUF,,LOCATED,NO,NONE,
P3,,DIFFSI_NDT,IP_L31N_3,UNUSED,,3,,,,,,,,,
P4,,DIFFMLR,IO_L32P_3/VREF_3,UNUSED,,3,,,,,,,,,
P5,,,VCCO_3,,,3,,,,,3.30,,,,
P6,DA<2>,IBUF,IO_L26P_3,INPUT,LVCMOS25*,3,,,,IBUF,,LOCATED,NO,NONE,
P7,,,VCCAUX,,,,,,,,2.5,,,,
P8,,,GND,,,,,,,,,,,,
P9,,,VCCINT,,,,,,,,1.2,,,,
P10,,,GND,,,,,,,,,,,,
P11,,,VCCINT,,,,,,,,1.2,,,,
P12,,,GND,,,,,,,,,,,,
P13,,,VCCINT,,,,,,,,1.2,,,,
P14,,,GND,,,,,,,,,,,,
P15,,,VCCINT,,,,,,,,1.2,,,,
P16,debug<16>,IOB,IO_L13N_1/A3,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P17,cgen_st_refmon,IBUF,IP_L12N_1/VREF_1,INPUT,LVCMOS25*,1,,,,IBUF,,LOCATED,NO,NONE,
P18,,,VCCO_1,,,1,,,,,2.50,,,,
P19,debug<18>,IOB,IO_L10P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P20,cgen_st_status,IBUF,IP_L16N_1,INPUT,LVCMOS25*,1,,,,IBUF,,LOCATED,NO,NONE,
P21,,,VCCO_1,,,1,,,,,2.50,,,,
P22,debug<14>,IOB,IO_L14N_1/A5,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
R1,DA<1>,IBUF,IO_L28N_3,INPUT,LVCMOS25*,3,,,,IBUF,,LOCATED,NO,NONE,
R2,DA<0>,IBUF,IO_L28P_3,INPUT,LVCMOS25*,3,,,,IBUF,,LOCATED,NO,NONE,
R3,TX<6>,IOB,IO_L34P_3,OUTPUT,LVCMOS33,3,12,FAST,NONE**,,,LOCATED,YES,NONE,
R4,,,GND,,,,,,,,,,,,
R5,TX<10>,IOB,IO_L32N_3,OUTPUT,LVCMOS33,3,12,FAST,NONE**,,,LOCATED,YES,NONE,
R6,DA<3>,IBUF,IO_L26N_3,INPUT,LVCMOS25*,3,,,,IBUF,,LOCATED,NO,NONE,
R7,,,GND,,,,,,,,,,,,
R8,,,VCCINT,,,,,,,,1.2,,,,
R9,,,GND,,,,,,,,,,,,
R10,,,VCCINT,,,,,,,,1.2,,,,
R11,,,GND,,,,,,,,,,,,
R12,,,VCCINT,,,,,,,,1.2,,,,
R13,,,GND,,,,,,,,,,,,
R14,,,VCCINT,,,,,,,,1.2,,,,
R15,,,GND,,,,,,,,,,,,
R16,,,GND,,,,,,,,,,,,
R17,cgen_st_ld,IBUF,IP_L12P_1,INPUT,LVCMOS25*,1,,,,IBUF,,LOCATED,NO,NONE,
R18,debug<19>,IOB,IO_L10N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
R19,debug<22>,IOB,IO_L07P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
R20,debug<23>,IOB,IO_L07N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
R21,,DIFFMI_NDT,IP_L16P_1/VREF_1,UNUSED,,1,,,,,,,,,
R22,debug<13>,IOB,IO_L14P_1/A4,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
T1,TX<11>,IOB,IO_L30P_3,OUTPUT,LVCMOS33,3,12,FAST,NONE**,,,LOCATED,YES,NONE,
T2,,,GND,,,,,,,,,,,,
T3,,DIFFMI_NDT,IP_L27P_3,UNUSED,,3,,,,,,,,,
T4,TX<7>,IOB,IO_L34N_3,OUTPUT,LVCMOS33,3,12,FAST,NONE**,,,LOCATED,YES,NONE,
T5,,DIFFSLR,IO_L29N_3,UNUSED,,3,,,,,,,,,
T6,TX<13>,IOB,IO_L29P_3,OUTPUT,LVCMOS33,3,12,FAST,NONE**,,,LOCATED,YES,NONE,
T7,,,VCCINT,,,,,,,,1.2,,,,
T8,,,GND,,,,,,,,,,,,
T9,,,VCCAUX,,,,,,,,2.5,,,,
T10,,,GND,,,,,,,,,,,,
T11,,,VCCAUX,,,,,,,,2.5,,,,
T12,,,GND,,,,,,,,,,,,
T13,,,VCCAUX,,,,,,,,2.5,,,,
T14,,,GND,,,,,,,,,,,,
T15,,,GND,,,,,,,,,,,,
T16,,,VCCINT,,,,,,,,1.2,,,,
T17,debug<27>,IOB,IO_L05N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
T18,debug<26>,IOB,IO_L05P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
T19,,,GND,,,,,,,,,,,,
T20,debug<21>,IOB,IO_L09N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
T21,,,GND,,,,,,,,,,,,
T22,,DIFFSLR,IO_L11N_1/VREF_1,UNUSED,,1,,,,,,,,,
U1,TX<12>,IOB,IO_L30N_3,OUTPUT,LVCMOS33,3,12,FAST,NONE**,,,LOCATED,YES,NONE,
U2,TX<8>,IOB,IO_L33P_3,OUTPUT,LVCMOS33,3,12,FAST,NONE**,,,LOCATED,YES,NONE,
U3,,DIFFSI_NDT,IP_L27N_3,UNUSED,,3,,,,,,,,,
U4,TXBLANK,IOB,IO_L38P_3,OUTPUT,LVCMOS33,3,12,FAST,NONE**,,,LOCATED,NO,NONE,
U5,TXSYNC,IOB,IO_L38N_3,OUTPUT,LVCMOS33,3,12,FAST,NONE**,,,LOCATED,YES,NONE,
U6,,,GND,,,,,,,,,,,,
U7,,DIFFSTB,IO_L02N_2/CSO_B,UNUSED,,2,,,,,,,,,
U8,io_rx<3>,IOB,IO_L11N_2,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
U9,io_rx<5>,IOB,IO_L10N_2,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
U10,,DIFFSTB,IO_L14N_2/D4,UNUSED,,2,,,,,,,,,
U11,,,GND,,,,,,,,,,,,
U12,,DIFFMTB,IO_L17P_2/GCLK0,UNUSED,,2,,,,,,,,,
U13,io_tx<13>,IOB,IO_L20P_2,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
U14,io_tx<7>,IOB,IO_L25P_2,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
U15,io_tx<8>,IOB,IO_L25N_2,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
U16,io_tx<3>,IOB,IO_L28P_2,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
U17,,,GND,,,,,,,,,,,,
U18,cgen_sync_b,IOB,IO_L01P_1/HDC,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
U19,cgen_ref_sel,IOB,IO_L01N_1/LDC2,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,YES,NONE,
U20,debug<20>,IOB,IO_L09P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
U21,,DIFFSI_NDT,IP_L08N_1/VREF_1,UNUSED,,1,,,,,,,,,
U22,debug<17>,IOB,IO_L11P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
V1,TX<9>,IOB,IO_L33N_3,OUTPUT,LVCMOS33,3,12,FAST,NONE**,,,LOCATED,YES,NONE,
V2,,,VCCO_3,,,3,,,,,3.30,,,,
V3,TX<3>,IOB,IO_L36N_3,OUTPUT,LVCMOS33,3,12,FAST,NONE**,,,LOCATED,YES,NONE,
V4,TX<2>,IOB,IO_L36P_3,OUTPUT,LVCMOS33,3,12,FAST,NONE**,,,LOCATED,YES,NONE,
V5,,,VCCAUX,,,,,,,,2.5,,,,
V6,,DIFFMTB,IO_L02P_2/M2,UNUSED,,2,,,,,,,,,
V7,io_rx<2>,IOB,IO_L11P_2,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
V8,io_rx<9>,IOB,IO_L06N_2,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
V9,,,VCCO_2,,,2,,,,,2.50,,,,
V10,io_rx<4>,IOB,IO_L10P_2,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
V11,,DIFFMTB,IO_L14P_2/D5,UNUSED,,2,,,,,,,,,
V12,,DIFFSTB,IO_L17N_2/GCLK1,UNUSED,,2,,,,,,,,,
V13,,DIFFSTB,IO_L20N_2/MOSI/CSI_B,UNUSED,,2,,,,,,,,,
V14,,,VCCO_2,,,2,,,,,2.50,,,,
V15,,IBUF,IP_2/VREF_2,UNUSED,,2,,,,,,,,,
V16,io_tx<4>,IOB,IO_L28N_2,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
V17,,DIFFSTB,IO_L31N_2/CCLK,UNUSED,,2,,,,,,,,,
V18,,,VCCAUX,,,,,,,,2.5,,,,
V19,,,SUSPEND,,,,,,,,,,,,
V20,debug<29>,IOB,IO_L03N_1/A1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
V21,,,VCCO_1,,,1,,,,,2.50,,,,
V22,,DIFFMI_NDT,IP_L08P_1,UNUSED,,1,,,,,,,,,
W1,TX<5>,IOB,IO_L35N_3,OUTPUT,LVCMOS33,3,12,FAST,NONE**,,,LOCATED,YES,NONE,
W2,TX<1>,IOB,IO_L37N_3,OUTPUT,LVCMOS33,3,12,FAST,NONE**,,,LOCATED,YES,NONE,
W3,TX<0>,IOB,IO_L37P_3,OUTPUT,LVCMOS33,3,12,FAST,NONE**,,,LOCATED,YES,NONE,
W4,,IBUF,IP_2/VREF_2,UNUSED,,2,,,,,,,,,
W5,io_rx<14>,IOB,IO_L03P_2,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
W6,,DIFFSTB,IO_L07N_2/VS2,UNUSED,,2,,,,,,,,,
W7,,,GND,,,,,,,,,,,,
W8,io_rx<8>,IOB,IO_L06P_2,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
W9,,IBUF,IP_2/VREF_2,UNUSED,,2,,,,,,,,,
W10,,IBUF,IP_2,UNUSED,,2,,,,,,,,,
W11,,,VCCAUX,,,,,,,,2.5,,,,
W12,,,GND,,,,,,,,,,,,
W13,,IBUF,IP_2/VREF_2,UNUSED,,2,,,,,,,,,
W14,io_tx<12>,IOB,IO_L21N_2,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
W15,,DIFFMTB,IO_L24P_2/INIT_B,UNUSED,,2,,,,,,,,,
W16,,,GND,,,,,,,,,,,,
W17,,DIFFMTB,IO_L31P_2/D0/DIN/MISO,UNUSED,,2,,,,,,,,,
W18,,IBUF,IP_2/VREF_2,UNUSED,,2,,,,,,,,,
W19,debug<28>,IOB,IO_L03P_1/A0,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
W20,,DIFFSI_NDT,IP_L04N_1/VREF_1,UNUSED,,1,,,,,,,,,
W21,,DIFFMI_NDT,IP_L04P_1,UNUSED,,1,,,,,,,,,
W22,debug<24>,IOB,IO_L06P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
Y1,TX<4>,IOB,IO_L35P_3,OUTPUT,LVCMOS33,3,12,FAST,NONE**,,,LOCATED,YES,NONE,
Y2,,DIFFMI_NDT,IP_L39P_3,UNUSED,,3,,,,,,,,,
Y3,,,GND,,,,,,,,,,,,
Y4,io_rx<15>,IOB,IO_L03N_2,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
Y5,,DIFFMTB,IO_L07P_2/RDWR_B,UNUSED,,2,,,,,,,,,
Y6,,IBUF,IP_2,UNUSED,,2,,,,,,,,,
Y7,,IBUF,IP_2,UNUSED,,2,,,,,,,,,
Y8,io_rx<0>,IOB,IO_L13P_2,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
Y9,io_rx<1>,IOB,IO_L13N_2,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
Y10,CLK_FPGA_N,DIFFSI,IO_L15N_2/GCLK13,INPUT,LVDS_33,2,,,,NONE,,LOCATED,NO,DIFF_TERM,
Y11,CLK_FPGA_P,DIFFMI,IO_L15P_2/GCLK12,INPUT,LVDS_33,2,,,,NONE,,LOCATED,NO,DIFF_TERM,
Y12,,IBUF,IP_2,UNUSED,,2,,,,,,,,,
Y13,io_tx<11>,IOB,IO_L21P_2,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
Y14,,IBUF,IP_2/VREF_2,UNUSED,,2,,,,,,,,,
Y15,debug_led<3>,IOB,IO_L24N_2/D3,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
Y16,io_tx<2>,IOB,IO_L29N_2,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
Y17,io_tx<1>,IOB,IO_L29P_2,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
Y18,,DIFFMTB,IO_L26P_2/D2,UNUSED,,2,,,,,,,,,
Y19,,DIFFSTB,IO_L26N_2/D1,UNUSED,,2,,,,,,,,,
Y20,,,GND,,,,,,,,,,,,
Y21,debug<30>,IOB,IO_L02P_1/LDC1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
Y22,debug<25>,IOB,IO_L06N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
